Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,4,15,19.5,-2.5,0,8.5,0,28618.45226435782
1980,4,16,20.5,-2,0,9.25,0,27203.21644505208
1980,4,17,21.5,-2.5,0,9.5,0,26749.030367929492
1980,4,18,22.5,-3,0,9.75,0,24279.991107855294
1980,4,19,23.5,-1,0,11.25,0,25628.259173251263
1980,4,20,23,-0.5,0,11.25,0,27458.849114197783
1980,4,21,19.5,2.5,0,11,0,33502.185021117766
1980,4,22,15,1,0,8,0,36440.26470878479
1980,4,23,9,-5,4,2,0.4,38086.39362718086
1980,4,24,9,-5,2,2,0.2,38086.39362718086
1980,4,25,15.5,1.5,2,8.5,0.2,37424.129884160226
1980,4,26,18,-1,0,8.5,0,30819.871669308417
1980,4,27,21,0,0,10.5,0,28863.875341316936
1980,4,28,21.5,0.5,0,11,0,29779.72001877135
1980,4,29,14,2.5,4,8.25,0.4,40303.90786883599
1980,4,30,7,-0.5,5,3.25,0.5,47513.93132327378
1980,5,1,12.5,-2,0,5.25,0,35782.08815205675
1980,5,2,15,-3,1,6,0.1,31353.382012294423
1980,5,3,19,-1.5,0,8.75,0,30302.184943768014
1980,5,4,19.5,-0.5,0,9.5,0,30864.265809149412
1980,5,5,20,3.5,0,11.75,0,35419.740698602116
1980,5,6,18,0.5,0,9.25,0,33480.88177852563
1980,5,7,18.5,1.5,0,10,0,33824.667697506295
1980,5,8,18,2,2,10,0.2,35814.35403265372
1980,5,9,16.5,2.5,0,9.5,0,37037.118970979296
1980,5,10,13,3.5,0,8.25,0,44782.11985426221
1980,5,11,9.5,2,9,5.75,0.9,47851.97524587734
1980,5,12,13,-2.5,0,5.25,0,35782.08815205675
1980,5,13,17.5,-3,0,7.25,0,28766.96659993096
1980,5,14,15.5,1.5,0,8.5,0,37424.129884160226
1980,5,15,12.5,-1.5,0,5.5,0,37869.983075146294
1980,5,16,18,0.5,0,9.25,0,31388.326667367783
